i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est, i.iter, d.est, i.est, m.est, d.sd, i.sd, m.sd, LL, maxgrad, m.start, d.start, i.start
1, 1990, 3, 67780, 0.0729064039408867, 0.473963868225292, 0.380720590868449, 0.403669724770642, 0.05, 0.478468899521531, 440, 6, 200, 22, 200, 88, 30, 200, 1, 0.3643, 0.030342, 0.45281, 0.083, 0.0043491, 0.043542, 1183.47, 4.43928e-05, 0.478468899521531, 0.403669724770642, 0.05
1, 1990, 4, 67780, 0.390151515151515, 0.9950874435056, 0.244954112510985, NA, 0.392307692307692, 1, 130, 12, 79, 51, 79, 0, 60, 79, 1, 0.2988, 0.19249, 0.95187, 0.070029, 0.019684, 0.0059198, 1183.47, 4.43928e-05, 1, NA, 0.392307692307692
1, 1990, 5, 67780, 0.292913795100716, 1, NA, NA, NA, NA, 0, 0, 0, 0, 0, NA, 0, 0, 1, NA, 0.14219, 1, NA, 0.016402, NA, 1183.47, 4.43928e-05, NA, NA, NA
1, 1991, 1, 67780, 0, 0, 0.982413980600886, 0.982812038949543, 0, 0, 67780, 0, 0, 0, 0, 66615, 0, 0, 1, 0.98404, 0, 0, 0.0032918, NA, NA, 1183.47, 4.43928e-05, 0, 0.982812038949543, 0
1, 1991, 2, 67780, 0.00017732762060234, 0.00307269811701219, 0.380720590868449, 0.419965576592083, 0, 0.00257510729613734, 1165, 0, 3, 0, 3, 488, 0, 3, 1, 0.3643, 0.00020946, 0.0081097, 0.083, 5.1811e-05, 0.001477, 1183.47, 4.43928e-05, 0.00257510729613734, 0.419965576592083, 0
1, 1991, 3, 67780, 0.0248114579621086, 0.268175847185596, 0.244954112510985, 0.247950819672131, 0.029673590504451, 0.253822629969419, 674, 4, 166, 20, 166, 121, 20, 166, 1, 0.2988, 0.073175, 0.24129, 0.070029, 0.0094866, 0.025151, 1183.47, 4.43928e-05, 0.253822629969419, 0.247950819672131, 0.029673590504451
1, 1991, 4, 67780, 0.148997908090964, 0.936959797002617, 0.22266725095388, 0.25, 0.168937329700272, 0.921311475409836, 367, 11, 281, 62, 281, 6, 55, 281, 1, 0.26967, 0.14219, 0.95187, 0.064406, 0.016402, 0.0059198, 1183.47, 4.43928e-05, 0.921311475409836, 0.25, 0.168937329700272
1, 1991, 5, 67780, 0.00017732762060234, 1, NA, NA, 0, 1, 18, 0, 18, 0, 18, NA, 0, 18, 1, NA, 0.062879, 1, NA, 0.011191, NA, 1183.47, 4.43928e-05, 1, NA, 0
1, 1992, 1, 67780, 0, 0, 0.994979633655696, 0.995367365004426, 0, 0, 67780, 0, 0, 0, 0, 67466, 0, 0, 1, 0.99449, 0, 0, 0.0010386, NA, NA, 1183.47, 4.43928e-05, 0, 0.995367365004426, 0
1, 1992, 2, 67780, 0.00017732762060234, 0.00181789260799418, 0.244954112510985, 0.235668789808917, 0, 0, 314, 0, 0, 0, 0, 74, 0, 0, 1, 0.2988, 0.00051652, 0.0044526, 0.070029, 0.00012468, 0.0010381, 1183.47, 4.43928e-05, 0, 0.235668789808917, 0
1, 1992, 3, 67780, 0.0408163265306122, 0.151530877010898, 0.22266725095388, 0.208121827411168, 0.025, 0.158119658119658, 240, 2, 37, 6, 37, 41, 10, 37, 1, 0.26967, 0.053053, 0.14044, 0.064406, 0.0075078, 0.024649, 1183.47, 4.43928e-05, 0.158119658119658, 0.208121827411168, 0.025
1, 1992, 4, 67780, 0.13914373088685, 0.9950874435056, 0.296600936006381, NA, 0.128205128205128, 1, 156, 4, 136, 20, 136, 0, 20, 136, 1, 0.31955, 0.062879, 0.95187, 0.074457, 0.011191, 0.0059198, 1183.47, 4.43928e-05, 1, NA, 0.128205128205128
1, 1992, 5, 67780, 0.292913795100716, 1, NA, NA, NA, NA, 0, 0, 0, 0, 0, NA, 0, 0, 1, NA, 0.1019, 1, NA, 0.010631, NA, 1183.47, 4.43928e-05, NA, NA, NA
