i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
2, 1982, 5, 67780, 0.72972972972973, 1, NA, NA, 1, NaN, 2, 0, 0, 2, 0, NA, 0, 0
2, 1983, 1, 67780, 0, 0, 0.898807500686103, 0.898878725287696, 0, 0, 67780, 0, 0, 0, 0, 60926, 0, 0
2, 1983, 2, 67780, 0.00017732762060234, 0.00250389277079209, 0.461318193158469, 0.454306185114783, 0.000291800408520572, 0.00189725627553999, 6854, 0, 13, 2, 13, 3107, 0, 13
2, 1983, 3, 67780, 0.195291847412556, 0.085782521811181, 0.364293424430591, 0.351497654276434, 0.191318327974277, 0.0818422796554009, 3732, 130, 247, 714, 247, 974, 650, 247
2, 1983, 4, 67780, 0.559009081054184, 0.969574853919001, 0.527567710693972, 0.576923076923077, 0.549248747913189, 0.967901234567901, 1797, 201, 784, 987, 784, 15, 1005, 784
2, 1983, 5, 67780, 0.463576158940397, 1, NA, NA, 0.272727272727273, 1, 11, 0, 8, 3, 8, NA, 0, 8
2, 1984, 1, 67780, 0, 0, 0.905105076142132, 0.906093242844497, 0, 0, 67780, 0, 0, 0, 0, 61415, 0, 0
2, 1984, 2, 67780, 0.000267461204752251, 0.00973819244166448, 0.364293424430591, 0.36050753370341, 0.000628436763550668, 0.00880364722527904, 6365, 0, 56, 4, 56, 2273, 0, 56
2, 1984, 3, 67780, 0.273016593452313, 0.145676167824891, 0.527567710693972, 0.52720677146312, 0.282738095238095, 0.142116182572614, 4032, 222, 411, 1140, 411, 1308, 1110, 411
2, 1984, 4, 67780, 0.560224455174214, 0.880811078140455, 0.624597664361772, 0.766666666666667, 0.563512361466326, 0.8828125, 1173, 131, 452, 661, 452, 46, 655, 452
2, 1984, 5, 67780, 0.612033195020747, 1, NA, NA, 0.5, 1, 14, 1, 7, 7, 7, NA, 5, 7
2, 1985, 1, 67780, 0, 0, 0.935017078366353, 0.937311891413396, 0, 0, 67780, 0, 0, 0, 0, 63531, 0, 0
2, 1985, 2, 67780, 0.000322965468935768, 0.00226148866529766, 0.527567710693972, 0.530506478209658, 0.000235349493998588, 0.000706214689265537, 4249, 0, 3, 1, 3, 2252, 0, 3
2, 1985, 3, 67780, 0.140335823236442, 0.0730722600845134, 0.624597664361772, 0.645181476846058, 0.138986452584044, 0.0687645687645688, 1993, 46, 118, 277, 118, 1031, 230, 118
2, 1985, 4, 67780, 0.521809800759375, 0.9557851129936, 0.192382894650167, 0, 0.481481481481481, 0.959183673469388, 567, 54, 282, 273, 282, 0, 270, 282
2, 1985, 5, 67780, 0.843843843843844, 1, NA, NA, 0.916666666666667, 1, 12, 2, 1, 11, 1, NA, 10, 1
2, 1986, 1, 67780, 0, 0, 0.995901329243354, 0.995972263204485, 0, 0, 67780, 0, 0, 0, 0, 67507, 0, 0
2, 1986, 2, 67780, 0.00017732762060234, 0.00748409629537233, 0.624597664361772, 0.622222222222222, 0, 0.010989010989011, 273, 0, 3, 0, 3, 168, 0, 3
2, 1986, 3, 67780, 0.179464622345105, 0.117016388420891, 0.192382894650167, 0.28169014084507, 0.205882352941176, 0.123456790123457, 102, 9, 10, 21, 10, 20, 45, 10
2, 1986, 4, 67780, 0.770164787510841, 0.867924528301887, 0.249065308838663, 0, 0.705882352941177, 0.866666666666667, 51, 12, 13, 36, 13, 0, 60, 13
2, 1986, 5, 67780, 0.00017732762060234, 1, NA, NA, 0, 1, 2, 0, 2, 0, 2, NA, 0, 2
2, 1987, 1, 67780, 0, 0, 0.978806423611111, 0.97797285334907, 0, 0, 67780, 0, 0, 0, 0, 66287, 0, 0
2, 1987, 2, 67780, 0.00017732762060234, 0.0213802989965185, 0.192382894650167, 0.180451127819549, 0.000669792364367046, 0.0194369973190349, 1493, 0, 29, 1, 29, 264, 0, 29
2, 1987, 3, 67780, 0.424224668312895, 0.269826270262412, 0.249065308838663, 0.23780487804878, 0.44954128440367, 0.254545454545455, 1199, 102, 168, 539, 168, 117, 510, 168
2, 1987, 4, 67780, 0.243404678944749, 0.967105263157895, 0.345241763937242, 0.454545454545455, 0.221333333333333, 0.962328767123288, 375, 15, 281, 83, 281, 5, 75, 281
