i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, I.est, M.est, D
1, 1988, 5, 67780, 0.337623042254616, 1, NA, NA, 0.337623042254616, 1, 0.0890295389540393, 0.00601168475843772, 0.0589711151618507, 0.0300584237921886, 0.0589711151618507, 0.0300584237921886, 0.0589711151618507, NA
1, 1989, 1, 67780, 0, 0, 0.995519556469141, 0.995519556469141, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67476.3155374784
1, 1989, 2, 67780, 0.000337298873444358, 0.00582860856742029, 0.658386192373351, 0.658386192373351, 0.000337298873444358, 0.00582860856742029, 303.684462521618, 0.0204864854182194, 1.7694608215238, 0.102432427091097, 1.7694608215238, 0.102432427091097, 1.7694608215238, 198.709228294071
1, 1989, 3, 67780, 0.146997585479351, 0.185572067940783, 0.627080346162871, 0.627080346162871, 0.146997585479351, 0.185572067940783, 103.103340978932, 3.03118843575146, 16.3205806653612, 15.1559421787573, 16.3205806653612, 15.1559421787573, 16.3205806653612, 44.9157699105241
1, 1989, 4, 67780, 0.337623042254616, 0.948896315421268, 0.625823846452826, 0.625823846452826, 0.337623042254616, 0.948896315421268, 26.7110482242898, 1.8036530726589, 16.788616466347, 9.01826536329447, 16.788616466347, 9.01826536329447, 16.788616466347, 0.565848890932183
1, 1989, 5, 67780, 0.249711833135133, 1, NA, NA, 0.249711833135133, 1, 0.338317503716117, 0.0168963768069308, 0.253835619681463, 0.0844818840346538, 0.253835619681463, 0.0844818840346538, 0.253835619681463, NA
1, 1990, 1, 67780, 0, 0, 0.995460362134244, 0.995460362134244, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67472.3033454591
1, 1990, 2, 67780, 0.000409649487233432, 0.00860542094031413, 0.627080346162871, 0.627080346162871, 0.000409649487233432, 0.00860542094031413, 307.696654540938, 0.0252095553512275, 2.64677454007361, 0.126047776756138, 2.64677454007361, 0.126047776756138, 2.64677454007361, 191.211742264403
1, 1990, 3, 67780, 0.147658400118104, 0.261759400141349, 0.625823846452826, 0.625823846452826, 0.147658400118104, 0.261759400141349, 113.712089959705, 3.3581090555072, 25.3701253967776, 16.790545277536, 25.3701253967776, 16.790545277536, 25.3701253967776, 44.7785844363427
1, 1990, 4, 67780, 0.249711833135133, 0.948896315421268, 0.312075809794695, 0.312075809794695, 0.249711833135133, 0.948896315421268, 26.7728348490489, 1.33709873367604, 19.0608040329465, 6.68549366838018, 19.0608040329465, 6.68549366838018, 19.0608040329465, 0.320357411659764
1, 1990, 5, 67780, 0.249382166150527, 1, NA, NA, 0.249382166150527, 1, 0.706179736062506, 0.035221726454175, 0.530071103791631, 0.176108632270875, 0.530071103791631, 0.176108632270875, 0.530071103791631, NA
1, 1991, 1, 67780, 0, 0, 0.992948355915505, 0.992948355915505, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67302.0395639529
1, 1991, 2, 67780, 0.000411645866011168, 0.0063201667885362, 0.625823846452826, 0.625823846452826, 0.000411645866011168, 0.0063201667885362, 477.960436047069, 0.0393500875231343, 3.01954617855752, 0.196750437615671, 3.01954617855752, 0.196750437615671, 3.01954617855752, 297.10620341958
