i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
2, 1985, 4, 67780, 0.138022616030134, 0.948896315421268, 0.738294568304261, 0.71875, 0.127883650952859, 0.944795859689477, 1994, 54, 1643, 255, 1643, 69, 270, 1643
2, 1985, 5, 67780, 0.134230720061338, 1, NA, NA, 0.185185185185185, 1, 27, 1, 22, 5, 22, NA, 5, 22
2, 1986, 1, 67780, 0, 0, 0.987118277959303, 0.987120094423134, 0, 0, 67780, 0, 0, 0, 0, 66907, 0, 0
2, 1986, 2, 67780, 0.000230301010401224, 0.0151868247383129, 0.319743408199062, 0.311188811188811, 0, 0.0171821305841924, 873, 0, 15, 0, 15, 267, 0, 15
2, 1986, 3, 67780, 0.0559796369813155, 0.415719153835346, 0.738294568304261, 0.739520958083832, 0.0575296108291032, 0.400359066427289, 591, 8, 223, 34, 223, 247, 40, 223
2, 1986, 4, 67780, 0.134230720061338, 0.948896315421268, 0.659277698535569, 0.333333333333333, 0.160919540229885, 0.958904109589041, 87, 3, 70, 14, 70, 1, 15, 70
2, 1986, 5, 67780, 0.286456106012595, 1, NA, NA, 0, 1, 2, 0, 2, 0, 2, NA, 0, 2
2, 1987, 1, 67780, 0, 0, 0.855608579972092, 0.854293301858955, 0, 0, 67780, 0, 0, 0, 0, 57904, 0, 0
2, 1987, 2, 67780, 0.00014844677283643, 0.0197965194623336, 0.738294568304261, 0.739987613542527, 0.000101255569056298, 0.0189367088607595, 9876, 1, 187, 1, 187, 7169, 5, 187
2, 1987, 3, 67780, 0.0543710879939396, 0.504468407749902, 0.659277698535569, 0.637030995106036, 0.0484319174275506, 0.488527325823947, 2519, 25, 1171, 122, 1171, 781, 125, 1171
